COYOTEID,TISSUE,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS91,CLAW,204,urban,urban,2019/01,2019,1,SS,-20.1,9.3,45.1,15.2,0,0,M,0
SS92,CLAW,205,urban,urban,2019/01,2019,1,SS,-19.7,8.3,43.9,14.6,0,0,M,1
SS93,CLAW,206,rural,rural,2019/01,2019,1,SS,-22.8,9.1,45.1,14.7,0,0,F,1
SS94,CLAW,207,urban,urban,2019/02,2019,2,SS,-22.4,8.2,47.6,16.1,0,1,M,1
SS95,CLAW,208,urban,urban,2019/02,2019,2,SS,-23,7.7,46.5,16,0,1,F,1
SS96,CLAW,209,urban,urban,2019/03,2019,3,SS,-20.6,8.2,46.8,15.9,0,1,M,1
SS105,CLAW,210,urban,urban,2019/09,2019,9,SS,-20.2,10.4,44.4,15.5,0,0,F,1
SS112,CLAW,211,urban,urban,2019/08,2019,8,SS,-19.8,9.4,46.4,15.8,0,0,M,1
SS113,CLAW,212,urban,urban,2020/02,2020,2,SS,-22.4,9.1,46.1,15.8,0,1,M,1
SS117,CLAW,213,urban,urban,2020/02,2020,2,SS,-21.9,8.8,45.8,15.7,0,1,M,1
